Degree,Institution,Graduation Year,Experience (Companies),Skills
B.Tech,Taylor PLC,2021,"Ortiz LLC; Gutierrez, Brown and Ashley; West, Hayes and Roberts; Casey-Mooney","Java, Cybersecurity, Data Analysis, Blockchain"
MBA,"Porter, Lee and Green",2022,"Turner, Ali and Garcia; Graves, Ford and Robinson; Rodriguez Group; Merritt PLC","AI, Cybersecurity, Java, Mobile Development, Deep Learning"
Diploma,"Ferrell, Thompson and Collins",2003,"Whitaker, Cole and Valencia; Moore-West; Reyes, Anderson and Williams; Fox-Chandler","AI, SQL, Python, Web Development"
M.Tech,Fisher-Alvarez,2011,"Marsh-Lee; Brown, Valenzuela and Higgins; Carroll, Mccormick and Hood; Berg Group","Data Analysis, Project Management, C++, Java"
PhD,Barker Group,2010,Ferrell-Byrd,"Machine Learning, Mobile Development, SQL, AI, C++, Cybersecurity, Blockchain"
B.Sc,Huerta-Williams,2003,Shelton-Campbell; Freeman-Garcia,"Blockchain, Data Analysis, Machine Learning, Project Management"
MBA,Hines Group,2015,"Andrade Group; George, Stewart and Franklin","Python, C++, Machine Learning, Deep Learning"
B.Sc,Lewis-Rodriguez,2008,"Boyer, Gonzalez and Jones; Hurley Inc; Lewis-Smith; Pope-Rodriguez","Data Analysis, Machine Learning, Blockchain, Deep Learning"
M.Tech,"Rogers, Gomez and Wright",2008,Lang-Hill,"Mobile Development, Deep Learning, Data Analysis, AI"
PhD,Johnston-Paul,2004,"Richardson, Campbell and Cox; Campos-Thomas; Smith-Moreno","Web Development, Project Management, Machine Learning, Python, C++, Data Analysis, SQL"
PhD,Barrera and Sons,2024,"Hill, Whitaker and Williamson; Nunez Ltd; Griffith PLC; Fleming Inc; Jennings, Gonzalez and Howard","Cloud Computing, Web Development, Project Management, Deep Learning, Mobile Development, C++, DevOps"
PhD,Reilly PLC,2012,Elliott-Fry,"Mobile Development, Web Development, Cybersecurity, DevOps"
Diploma,Hughes and Sons,2009,"Davis, Rivera and Figueroa; Henry LLC; King PLC; Evans-Smith; Figueroa, Spence and Johnson","Java, Data Analysis, Blockchain, C++, Cloud Computing, Python"
B.Tech,"Morrison, Spencer and Fleming",2014,"Williams LLC; Gordon Group; Thomas, Gonzales and Hays; Young Ltd","Python, Project Management, DevOps, Deep Learning, Machine Learning, AI, Mobile Development"
PhD,"Mclean, Fisher and Schmidt",2011,"Davis Ltd; Gilbert PLC; Ramos, Tyler and Eaton","Cloud Computing, AI, Java, C++, Blockchain"
B.Sc,"Juarez, Harper and Atkins",2015,"Johnson, Barr and Fox; Cook-Scott","DevOps, Data Analysis, Project Management, Blockchain, Mobile Development, Machine Learning, SQL"
B.Sc,"Jackson, Burgess and Mills",2001,"Gomez, Johnson and Johnson; Skinner Inc; Beck Ltd; Morales-Phillips","SQL, Mobile Development, Cybersecurity, Cloud Computing"
MBA,"Poole, Thomas and Gallagher",2024,Cook LLC; Davis-Mcdonald,"C++, Deep Learning, SQL, Web Development, AI"
Diploma,"Patterson, Graves and Reed",2018,"Nash, Woodward and Williams","Java, Blockchain, DevOps, Web Development, Mobile Development, Cloud Computing"
MBA,Wilson-Dodson,2024,"Erickson, Thomas and Thompson","Cloud Computing, Java, Blockchain, Web Development, Project Management"
PhD,Gilbert-Young,2009,Garcia and Sons; Benitez LLC,"Mobile Development, Cybersecurity, C++, DevOps"
B.Tech,"Lloyd, Dawson and Moyer",2000,"Jones, Torres and Hoffman; Flores, Mcdaniel and Richardson; Leon Ltd; Cordova, Frye and Martin","Cybersecurity, DevOps, C++, Machine Learning, Blockchain, AI"
M.Tech,Gill PLC,2012,"Johnson, Martin and Torres; Nelson Group; Stewart, Miller and Gomez","Cloud Computing, C++, Machine Learning, Blockchain"
B.Sc,Johnson PLC,2002,"Sanchez and Sons; Robbins, Harrell and Powers; Davis, Mendez and Thomas; Mcknight-Franklin; Nelson-Robertson","Cloud Computing, Cybersecurity, Project Management, Machine Learning, SQL, DevOps"
B.Sc,Harris and Sons,2021,"Powers Inc; Dawson-Robinson; Rhodes-Wood; Cox, Wilson and Logan","DevOps, Deep Learning, Cybersecurity, Project Management, Blockchain"
Diploma,Collier Inc,2023,"Hughes, Mullen and Parker; Bishop-Murphy; Smith PLC; Washington, Cummings and Gutierrez","Project Management, Python, Cloud Computing, Deep Learning, Cybersecurity, C++, Blockchain"
Diploma,"Owens, Bell and Hansen",2009,"Jimenez, Grant and Powell; Spencer Inc; Scott-Valdez; Ramos Ltd; Huber, Simpson and Sexton","Deep Learning, Data Analysis, Machine Learning, Python, Java, Web Development, Blockchain"
B.Sc,Cooper-Ross,2009,Taylor-Stewart,"Cloud Computing, SQL, Project Management, Deep Learning, C++"
MBA,"Avila, Garcia and Hill",2003,Smith-Johnson; Johnson-Neal; Bradley-Graves; Martinez-Foster,"AI, Deep Learning, Java, Machine Learning"
B.Tech,Green PLC,2007,"Dougherty, Cruz and Matthews","Cloud Computing, Java, Python, C++"
M.Sc,Hernandez-Wilkinson,2003,"Scott, Malone and Daniels","Python, Project Management, Cloud Computing, C++, Data Analysis, DevOps, Java"
PhD,George-Mcgrath,2008,Atkins-Garrett,"C++, SQL, AI, Mobile Development, Python"
M.Tech,Page Group,2023,Perry and Sons; Arnold-Wiggins,"Blockchain, Mobile Development, C++, AI, Web Development"
B.Tech,Clark LLC,2021,Tucker-Evans; Price Ltd; Jones-Smith; Bell-Robertson,"Blockchain, Mobile Development, Java, Project Management, Cybersecurity, Cloud Computing"
Diploma,"Watson, Harris and Simmons",2022,House-King; Spencer Inc; Rodriguez Ltd,"Project Management, DevOps, Cloud Computing, Mobile Development"
MBA,"Castillo, Riley and Boyle",2003,White and Sons; Armstrong Group,"Machine Learning, SQL, Mobile Development, Project Management, Java, C++, Data Analysis"
MBA,Gregory Inc,2002,"Reeves, Ellis and Smith; Farmer Group; Webb, Lawrence and Mercer; Moore, Mayer and Lopez; Jones PLC","Cybersecurity, DevOps, SQL, Mobile Development, Web Development, Python, Cloud Computing"
MBA,Fuller Ltd,2014,Johnson-Marshall,"C++, Data Analysis, Project Management, Java, Mobile Development, Python, Blockchain"
MBA,Morales-Davis,2005,"Sandoval, Jenkins and Nguyen; Smith Group; Fox-Proctor; Petersen, Hernandez and Chapman","Project Management, DevOps, Python, Java, Machine Learning, Mobile Development"
B.Sc,Bennett-Ashley,2012,"Acosta, Taylor and Kirk; Wheeler-Stewart; Collins, Stephens and Allen","Data Analysis, AI, Cloud Computing, Java, Blockchain"
B.Tech,"Wood, Weaver and Price",2018,"Davis, Cain and Chang; Horton, Webb and Robinson; Obrien Group; Marquez and Sons","Mobile Development, Deep Learning, Python, Web Development"
Diploma,Garcia Inc,2014,"Bailey, Wood and Kelly; Hall, Young and Hunt; Thomas Group","Machine Learning, Project Management, DevOps, Cybersecurity"
MBA,"Williams, Kelley and Rodriguez",2014,"Scott Ltd; Ward, Diaz and Neal; Wheeler, Hall and Jordan; Mitchell, Golden and Davis","Cybersecurity, Java, AI, C++, DevOps, SQL, Cloud Computing"
M.Tech,Rodriguez Group,2024,"Petersen, Smith and Richards; Medina, Solis and Dixon; King-Baker","C++, Deep Learning, AI, Web Development"
M.Tech,"Blackburn, Gardner and Crawford",2019,"Tucker Group; Joseph, Baker and Dyer; Jones PLC; Brown-Williams; Berger PLC","C++, Blockchain, DevOps, Project Management"
B.Tech,Hanna LLC,2005,"Nelson Group; Alvarez, Benton and Mcclure; Brown-Lane; Hawkins, Larson and Parker; Hicks Ltd","Web Development, Deep Learning, SQL, Data Analysis, DevOps, Mobile Development"
B.Tech,"Clark, Mendez and Miller",2023,Watkins-Lewis,"Cloud Computing, SQL, Data Analysis, AI, Machine Learning, Web Development, Mobile Development"
M.Sc,Smith-Washington,2017,"Nichols, Wood and Sellers; Orr-Smith; Brooks-Hale; Franklin, Williams and Potter; Gould LLC","AI, DevOps, Data Analysis, Mobile Development, SQL, Blockchain, Java"
B.Sc,"Stanley, Hoffman and Campbell",2017,Evans-Becker; Cervantes-Mendez; White PLC; Williams-Wilkins,"Cybersecurity, C++, Python, Blockchain, Mobile Development"
PhD,Fernandez-Hamilton,2007,"Johnston-Ward; Ford, Hicks and Wilson","Cybersecurity, Data Analysis, SQL, Python, C++, Project Management"
PhD,"Johnson, Harvey and Valenzuela",2023,"Bryant, Banks and Allen; Haynes LLC","Machine Learning, Web Development, C++, DevOps"
PhD,Rodgers-Elliott,2001,"Taylor, Miller and Mcdaniel; Harris, Randolph and King","Mobile Development, Deep Learning, Data Analysis, Java, Blockchain"
MBA,Reyes PLC,2024,"Bailey, Rose and Hernandez; Richardson, Olsen and Nelson; Garcia, Baker and Nixon; Rowland Inc","Python, Cloud Computing, Mobile Development, Data Analysis, AI, Web Development, Machine Learning"
B.Tech,"Johnson, Hicks and Johns",2008,Norman Ltd,"Data Analysis, Deep Learning, Cybersecurity, C++"
M.Tech,Martin LLC,2015,"Mendoza-Long; Taylor-Velazquez; Curry, Clark and Strong; Chambers-Benjamin","Data Analysis, DevOps, Web Development, Cybersecurity, SQL, Cloud Computing"
Diploma,Shields-Garrett,2018,Smith Ltd,"Mobile Development, SQL, Web Development, Cybersecurity, Deep Learning, Blockchain"
M.Sc,Quinn PLC,2014,"Reed, Townsend and Wilson; Bailey, Lee and Chang; Miller Ltd; Reid and Sons; Whitaker-Pena","C++, Blockchain, DevOps, Project Management"
M.Tech,Stevens LLC,2002,Murphy Inc; Gomez-Arroyo; Hill-Kim,"DevOps, Blockchain, Deep Learning, AI"
PhD,Boyle-Long,2006,Shaw Group; Bishop PLC; Newman-Dixon,"Blockchain, Machine Learning, Cybersecurity, SQL, C++, Deep Learning"
PhD,Salazar and Sons,2023,"French, Woodward and Matthews; Powell, Fisher and Shelton; Gray-Campbell; Hudson, Colon and Lamb; Hull Group","Mobile Development, Blockchain, Machine Learning, Python, AI, SQL, DevOps"
B.Sc,Day Group,2009,"Banks Group; Powers, Walters and Olson","Machine Learning, DevOps, Mobile Development, AI, Blockchain"
M.Tech,"Ramirez, Wallace and Warner",2004,"Johnson, Wilson and Morgan; Trevino-Johnson; Gibbs Inc; Clark-Reid; Johnson-Clark","Web Development, AI, Mobile Development, Project Management"
PhD,Sanders-Kim,2011,"Fletcher LLC; Stevenson Ltd; Morris, Garrison and Hopkins; Estrada, Kerr and Zamora; Bird LLC","Mobile Development, Deep Learning, Blockchain, Python, C++, DevOps, Machine Learning"
M.Tech,Gonzalez-Pierce,2004,"Morgan, Garcia and Steele; Simpson, Humphrey and Cannon; Nash LLC","Java, DevOps, AI, Data Analysis, Blockchain, C++"
B.Tech,"Johnston, Jackson and Brewer",2002,Blackburn-Smith; Williams-Fields; Delgado Ltd,"Blockchain, AI, DevOps, Python, Java, Data Analysis"
M.Sc,"Park, Miller and Cochran",2021,Nelson PLC,"Data Analysis, Cybersecurity, Python, Deep Learning, Machine Learning"
B.Tech,Parker Inc,2015,"Dunn-Keller; Taylor-Davis; Mckee, Chavez and Smith; Simon-Rodgers; Brewer, Evans and Cardenas","Cybersecurity, Machine Learning, Project Management, Python"
B.Tech,"Allen, Hill and Miles",2003,"Smith, Woods and Reilly; Williams Inc; Wilkins, Mayer and Johnson; Bush-Ellis; Edwards Inc","Cloud Computing, AI, Web Development, DevOps, Mobile Development"
Diploma,"King, Duncan and Webb",2019,"Rodriguez-Johnson; Richardson, Thompson and Robinson; Hernandez, Phillips and Cabrera","DevOps, Cloud Computing, Project Management, Blockchain, Data Analysis, AI"
PhD,"Stephens, White and Reyes",2020,Payne and Sons; Wilson-Wilson,"Blockchain, Web Development, Java, Data Analysis, SQL, Machine Learning"
B.Tech,Johnston-Sexton,2024,Long PLC; Ramirez Group; Thomas-Phillips; Wood and Sons; Li-Cunningham,"Data Analysis, Python, Deep Learning, Cybersecurity, Web Development, C++, Mobile Development"
B.Sc,Meyer-Mcdonald,2021,Casey-Deleon; Parks-White; Williams-Perez; Shepard Inc; Hood-Obrien,"DevOps, Cybersecurity, Java, Project Management, AI"
B.Tech,Mahoney-Perkins,2002,"Martinez, Wolf and Carter; Campbell, Tucker and Watson; Hall LLC; Griffith, Burns and Dixon; Estrada-Stephens","Project Management, DevOps, SQL, Python, Data Analysis"
M.Sc,Bonilla Group,2022,"Watkins, Bates and Evans; Huff Inc; Odonnell LLC","Java, Data Analysis, SQL, Cloud Computing, Machine Learning"
M.Sc,Castro-Jones,2018,"Reed Group; Johnson, Garcia and Williams","Data Analysis, Python, Web Development, Mobile Development"
Diploma,Dunn PLC,2011,"Brown, Mccall and Turner; Wyatt Ltd","Web Development, Data Analysis, Project Management, Python"
B.Tech,"Richard, Gentry and Reyes",2021,Johnson-Taylor; Hall PLC; Harris Inc,"Cybersecurity, Mobile Development, Cloud Computing, Web Development, Project Management, SQL"
B.Tech,Brown Ltd,2012,"Woodard, Day and Shaffer; Butler, Norman and Hardy; Mccoy, Lee and Barrett","Java, DevOps, Cybersecurity, Mobile Development"
B.Sc,Garcia-Lam,2015,"Rivera, Hutchinson and Fox","Web Development, Cloud Computing, DevOps, C++, Data Analysis, Machine Learning, Deep Learning"
Diploma,"Mills, Arellano and Jimenez",2001,"Church, Newman and Watson","DevOps, C++, Project Management, Data Analysis"
B.Sc,Smith-Morris,2015,"Phillips, Cox and Williams","Java, Data Analysis, Python, Deep Learning, Project Management, C++, Mobile Development"
PhD,"Woods, Ortiz and Hogan",2014,Thompson Inc; Garcia Group; Trevino Inc,"Project Management, Cloud Computing, Web Development, Data Analysis, SQL, Blockchain, C++"
PhD,Rogers-Rodriguez,2010,Lewis LLC; Roberts-Ward,"Python, Web Development, AI, C++"
B.Tech,Friedman-Clark,2010,"Horton, Strong and Rodriguez; Chavez Ltd; Davis Group; Zamora PLC; Ray-Smith","DevOps, Project Management, Python, AI, Data Analysis, C++, Web Development"
B.Sc,Lopez-Jordan,2015,Odom and Sons,"Data Analysis, Project Management, Java, Web Development, DevOps, Machine Learning"
B.Sc,Mccarty-Johnson,2021,"Mccall, Kramer and Mcdonald","SQL, AI, Data Analysis, Project Management, Deep Learning, Cloud Computing"
PhD,Esparza and Sons,2014,"Short, Hanna and Garcia; Jones, Watkins and Jones; Wagner, Mcpherson and Sullivan; Klein-Willis","Machine Learning, Python, AI, Project Management, SQL, Mobile Development, DevOps"
M.Tech,Sandoval LLC,2018,"Lopez, Wright and Gray","DevOps, SQL, Blockchain, Data Analysis"
M.Sc,Hunter-Larson,2019,"Deleon-Pennington; Cook, Smith and Peters; Brooks and Sons; Cooper, Henderson and Hopkins; King Group","AI, Cybersecurity, Machine Learning, Java"
MBA,"Clark, Brown and Hill",2017,"Torres, Poole and Woods; Perez Group; Jackson LLC","Project Management, Python, SQL, Machine Learning, C++"
Diploma,"Santos, White and Carter",2002,Carroll and Sons,"Mobile Development, AI, DevOps, Cybersecurity, Data Analysis"
MBA,Wilkinson LLC,2016,"Barton PLC; King-Hawkins; Burgess-Cooper; Blankenship, Horne and Perez","Web Development, SQL, Python, Deep Learning, DevOps, Mobile Development"
M.Sc,Oliver-Collins,2012,"Callahan Group; Baker, Conner and Hernandez","Python, AI, Cloud Computing, Data Analysis, Cybersecurity, Java"
B.Sc,"Ford, Sullivan and Levine",2024,"Jenkins, Atkinson and Little; Stevens Group; Hanna-Acosta; Mccarthy-Hodges","AI, DevOps, Java, Data Analysis, Deep Learning, Cloud Computing"
Diploma,"Shields, Harrington and Leonard",2009,"West, Cooper and Ramsey; Vazquez, Baird and Conner","AI, Deep Learning, Java, SQL, Blockchain"
B.Tech,Shaw PLC,2004,"Compton-Day; Harris, Silva and Williams; Andersen Inc; Blankenship and Sons; Cross, Stevens and Callahan","Data Analysis, Java, Python, SQL"
M.Sc,Washington Ltd,2015,Brown-Caldwell; Peterson PLC; Blake Inc,"Project Management, Web Development, Python, AI, Cybersecurity, Java, SQL"
M.Tech,Garrett Inc,2007,Murray-Hardin,"Data Analysis, Blockchain, Cloud Computing, Deep Learning"
B.Tech,"Davis, Duke and Morgan",2006,"Freeman, Williams and Russell; Kline LLC; Holmes and Sons; Wagner, Jarvis and Craig","Cybersecurity, Java, AI, Blockchain, Cloud Computing"
MBA,"Perry, Stewart and Smith",2022,"Quinn-Miller; Jones, Ramos and Simpson","DevOps, Cybersecurity, Web Development, Java, Cloud Computing"
M.Tech,Fernandez-Freeman,2021,"Patterson, Solis and Blair; Davis Inc; Jones Ltd","C++, Project Management, Data Analysis, AI, Machine Learning, Mobile Development, Cloud Computing"
MBA,Hurst Inc,2016,"Moore, Trevino and Goodwin; Williams LLC","SQL, DevOps, AI, Web Development, Mobile Development, C++, Blockchain"
M.Sc,Johnson-Garza,2015,"Carr, Smith and Robinson","Deep Learning, Web Development, Cloud Computing, Machine Learning, SQL, Cybersecurity"
B.Tech,Cook-Sawyer,2023,Harper-Sanchez; Bass-Carrillo; Le LLC; Hartman-Freeman,"Mobile Development, AI, Deep Learning, Project Management, Data Analysis"
PhD,"Jacobs, Morgan and Martin",2007,"Collins, Mccann and Perez","Java, Machine Learning, Cloud Computing, Cybersecurity, Mobile Development, SQL"
B.Tech,Mcgrath-Jones,2017,"Brown LLC; Estrada, Moss and Williams; Steele Inc; Montgomery Group","DevOps, AI, Data Analysis, SQL"
Diploma,Johnson-King,2017,"Mcguire and Sons; Long, Hughes and Klein","Machine Learning, DevOps, AI, Cybersecurity, Mobile Development, Project Management, Deep Learning"
B.Sc,Hill-Evans,2014,"Davis-Valdez; Smith-Campbell; Brown-Hoffman; Pope, Smith and Wong; Ellis-Guerra","Project Management, Blockchain, AI, DevOps, Deep Learning"
M.Sc,Burnett-Reyes,2018,Green LLC,"AI, Web Development, Python, DevOps"
PhD,King PLC,2023,"Benton, Costa and Gibbs; Adams-Spears","Data Analysis, Blockchain, Deep Learning, Project Management, Python, Cybersecurity"
B.Tech,"French, Brown and Hayes",2007,Cherry-Nixon; Maldonado-Hopkins,"C++, Java, Cybersecurity, Cloud Computing"
B.Tech,"Ellison, Simmons and Klein",2008,Smith PLC; Ruiz-Martinez,"Blockchain, Project Management, Web Development, Mobile Development, C++, Java, Cybersecurity"
PhD,"Fernandez, Brooks and Mcmahon",2001,"Frederick PLC; Anderson PLC; Turner, Snyder and Mason; Smith Ltd","Python, Project Management, SQL, Cybersecurity, Java"
B.Tech,Reyes-Allen,2022,"Paul, Torres and Bell; Clark-Johnson","Web Development, Data Analysis, DevOps, Java, Mobile Development"
PhD,"Mcknight, Rowe and Williamson",2009,"Kelly, Hill and Edwards; Perry Inc; Edwards-Stephens; Wolfe Inc; Harris-White","DevOps, AI, Machine Learning, Mobile Development, Cybersecurity, SQL"
M.Sc,Collins and Sons,2011,"Waller-Jackson; Pope, Cruz and Lopez; Cannon, Smith and Griffin","DevOps, SQL, Deep Learning, Blockchain, Web Development, C++, Java"
B.Tech,Phillips Group,2023,Costa-Rose; Chavez Inc; Garcia Inc; Martin and Sons; Williams LLC,"DevOps, Project Management, C++, Mobile Development, Data Analysis, Python, Cybersecurity"
Diploma,Schroeder-Cervantes,2023,Gray PLC; Little-Brown; Irwin-Ritter,"Mobile Development, Python, Project Management, Cloud Computing, AI, Web Development"
M.Sc,Hunt and Sons,2008,"Foster-Foley; Hughes-Gonzalez; Martinez, Chandler and Ray; Burns-Wu","Web Development, Deep Learning, Java, Mobile Development, C++"
B.Sc,Hill LLC,2020,"Kemp, Noble and Hernandez; Atkins PLC","Python, Web Development, Mobile Development, C++, Machine Learning, Cloud Computing"
M.Tech,"Castro, Bean and Lee",2017,"Flores-Holt; Parsons-Rodriguez; Wallace, Johnson and Smith; Rivera Ltd","Cloud Computing, Data Analysis, Python, C++, AI, Blockchain"
